분석아이디,학교명,위도,경도,위험지역 사유,기타 상세 사유,행위 구분,데이터기준일자
6050,고산초등학교,33.30745578,126.1781912,가게에서 놓은 물건 때문에 길을 다니기 어려움,해당없음,하교,2021-01-25
6050,고산초등학교,33.30727475,126.1767218,신호등이 없음,해당없음,등교,2021-01-25
6050,고산초등학교,33.30726681,126.1782466,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6050,고산초등학교,33.30728164,126.1777633,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6051,고산초등학교,33.30567666,126.1763798,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6051,고산초등학교,33.30534886,126.1813489,돌이 떨어질 것 같음,해당없음,활동,2021-01-25
6051,고산초등학교,33.30564054,126.1790967,인도에 차가 서 있음,해당없음,활동,2021-01-25
6051,고산초등학교,33.30406526,126.1781129,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6051,고산초등학교,33.30570706,126.1782478,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6055,곽금초등학교,33.44489345,126.3057602,"나쁜 형, 아저씨 있음",해당없음,등교,2021-01-25
6055,곽금초등학교,33.44656982,126.3040476,신호등이 없음,해당없음,활동,2021-01-25
6055,곽금초등학교,33.44615507,126.3056533,위험한 곳이라는 안내시설이 없음,해당없음,등교,2021-01-25
6055,곽금초등학교,33.44917362,126.3053389,위험한 곳이라는 안내시설이 없음,해당없음,활동,2021-01-25
6055,곽금초등학교,33.44970294,126.3048722,인도에 차가 서 있음,해당없음,활동,2021-01-25
6055,곽금초등학교,33.44639831,126.3056191,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6057,고산초등학교,33.30561321,126.179054,신호등이 없음,해당없음,등교,2021-01-25
6058,고산초등학교,33.3045958,126.1780717,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6058,고산초등학교,33.30416754,126.1780703,횡단보도가 적어서 많이 돌아가야 함,해당없음,하교,2021-01-25
6059,한천초등학교,33.50809537,126.513073,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6059,한천초등학교,33.50796957,126.5131813,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6059,한천초등학교,33.5083564,126.5129639,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6059,한천초등학교,33.5082836,126.5127921,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6059,한천초등학교,33.50774465,126.513301,신호등이 없음,해당없음,등교,2021-01-25
6060,삼성초등학교,33.50187177,126.5263501,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6060,삼성초등학교,33.50234472,126.5262507,인도에 차가 서 있음,해당없음,등교,2021-01-25
6060,삼성초등학교,33.5014979,126.5264275,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6061,고산초등학교,33.30315721,126.1819169,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6061,고산초등학교,33.30040274,126.1825869,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6061,고산초등학교,33.30359312,126.1796581,신호등이 없음,해당없음,등교,2021-01-25
6061,고산초등학교,33.30348408,126.1795303,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6062,고산초등학교,33.30645532,126.1802863,위험한 곳이라는 안내시설이 없음,해당없음,활동,2021-01-25
6062,고산초등학교,33.30397851,126.1779473,인도에 차가 서 있음,해당없음,등교,2021-01-25
6062,고산초등학교,33.30494003,126.1801931,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6062,고산초등학교,33.30430588,126.1811009,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6063,도련초등학교,33.51516769,126.5853634,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,활동,2021-01-25
6063,도련초등학교,33.51523093,126.5854008,"나쁜 형, 아저씨 있음",해당없음,활동,2021-01-25
6063,도련초등학교,33.51438544,126.5846567,인도에 차가 서 있음,해당없음,등교,2021-01-25
6063,도련초등학교,33.51517204,126.5853149,인도에 차가 서 있음,해당없음,활동,2021-01-25
6064,고산초등학교,33.30529327,126.1783913,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6064,고산초등학교,33.30526072,126.1775595,신호등이 없음,해당없음,등교,2021-01-25
6064,고산초등학교,33.30520819,126.1777962,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6065,한천초등학교,33.50624974,126.5143183,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6065,한천초등학교,33.50657282,126.5127882,돌이 떨어질 것 같음,해당없음,등교,2021-01-25
6065,한천초등학교,33.50572976,126.5139176,위험한 곳이라는 안내시설이 없음,해당없음,활동,2021-01-25
6066,아라초등학교,33.47534124,126.5453111,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6066,아라초등학교,33.47533254,126.5453972,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6066,아라초등학교,33.47357697,126.5485585,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6067,광양초등학교,33.50218061,126.5305079,신호등이 없음,해당없음,하교,2021-01-25
6067,광양초등학교,33.50246701,126.5335304,인도에 차가 서 있음,해당없음,활동,2021-01-25
6067,광양초등학교,33.50176519,126.5303272,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6067,광양초등학교,33.50215198,126.5360719,횡단보도가 적어서 많이 돌아가야 함,해당없음,활동,2021-01-25
6068,한천초등학교,33.50854519,126.5128256,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6068,한천초등학교,33.5077262,126.5120499,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6068,한천초등학교,33.5083023,126.5129615,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6068,한천초등학교,33.50785653,126.5119469,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6068,한천초등학교,33.50856814,126.5129277,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6068,한천초등학교,33.50825305,126.5130479,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6068,한천초등학교,33.50792906,126.513195,인도에 차가 서 있음,해당없음,등교,2021-01-25
6069,제주동초등학교,33.51699896,126.5390979,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6069,제주동초등학교,33.51580457,126.5397609,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,활동,2021-01-25
6069,제주동초등학교,33.51693097,126.5396042,신호등이 없음,해당없음,활동,2021-01-25
6069,제주동초등학교,33.51575917,126.539675,신호등이 없음,해당없음,활동,2021-01-25
6069,제주동초등학교,33.51674292,126.5399496,신호등이 없음,해당없음,활동,2021-01-25
6070,남광초등학교,33.49154831,126.5418799,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6070,남광초등학교,33.49578906,126.5427615,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6070,남광초등학교,33.49431254,126.5433288,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6070,남광초등학교,33.4927932,126.542067,신호등이 없음,해당없음,등교,2021-01-25
6070,남광초등학교,33.49447427,126.5431773,신호등이 없음,해당없음,활동,2021-01-25
6070,남광초등학교,33.493916,126.5433739,인도에 차가 서 있음,해당없음,활동,2021-01-25
6071,삼성초등학교,33.50113307,126.5253318,신호등이 없음,해당없음,등교,2021-01-25
6072,노형초등학교,33.48313625,126.4779918,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6072,노형초등학교,33.48306378,126.476841,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6072,노형초등학교,33.48405879,126.4765445,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6072,노형초등학교,33.48554742,126.4789242,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6072,노형초등학교,33.48519258,126.4803035,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6072,노형초등학교,33.48432059,126.4776942,인도에 차가 서 있음,해당없음,등교,2021-01-25
